Reservation No.,Year of reservation made,Month of reservation made,Date of reservation made,Hour of reservation made,Minutes of reservation made,Year of planned departure,Month of planned departure,Date of planned departure,Hour of planned departure,Minutes of planned departure,Year of planned arrival,Month of planned arrival,Date of planned arrival,Hour of planned arrival,Minutes of planned arrival,Year of checked in ,Month of checked in ,Date of checked in ,Hour of checked in ,Minutes of checked in ,Year of checked out,Month of checked out,Date of checked out,Hour of checked out,Minutes of checked out,Station ID of checked in,Station name,Station ID of checked out,Station name,Vehicle type,Vehicle registraiton No.,Vehicle No.,Time of use,Energy used,Age of driver,ID Card No,Sex,Occupation
MNR-04951,2017,1,9,12,9,2017,1,9,12,15,2017,1,9,16,40,2017,1,9,12,20,2017,1,9,12,27,STN-00195,_____,STN-00204,___________,P-COM,___0_413,413,0:06:49,122.3522, , ,,Stuff
MNR-04950,2017,1,9,11,49,2017,1,9,11,50,2017,1,9,16,15,2017,1,9,12,0,2017,1,9,12,11,STN-00233,____K______,STN-00240,____K_____,P-COM,___0_428,428,0:11:20,236.4549, , ,,Stuff
MNR-04949,2017,1,9,11,1,2017,1,9,11,5,2017,1,9,13,0,2017,1,9,11,6,2017,1,9,12,31,STN-00204,___________,STN-00204,___________,P-COM,___0_415,415,1:25:53,424.5751, , ,,Stuff
MNR-04948,2017,1,8,17,9,2017,1,8,17,15,2017,1,8,21,40,2017,1,8,17,26,2017,1,8,17,39,STN-00238,____K_____,STN-00234,____K______,P-COM,___0_403,403,0:12:37,224.9911, , ,,Stuff
MNR-04947,2017,1,8,16,38,2017,1,8,16,45,2017,1,8,21,10,2017,1,8,17,4,2017,1,8,17,18,STN-00233,____K______,STN-00248,_______,P-COM,___0_426,426,0:13:25,407.0629, , ,,Stuff
MNR-04946,2017,1,8,16,15,2017,1,8,16,20,2017,1,8,20,45,2017,1,8,16,38,2017,1,8,16,55,STN-00258,_____,STN-00204,___________,P-COM,___0_419,419_1,0:17:25,239.7846, , ,,Stuff
MNR-04945,2017,1,8,16,7,2017,1,8,16,10,2017,1,8,20,35,2017,1,8,16,12,2017,1,8,16,15,STN-00202,________,STN-00204,___________,P-COM,___0_428,428,0:02:45,27.0008, , ,,Stuff
MNR-04944,2017,1,8,11,37,2017,1,8,11,40,2017,1,8,16,5,2017,1,8,11,47,2017,1,8,11,54,STN-00193,________,STN-00202,________,P-COM,___0_428,428,0:06:44,126.7578, , ,,Stuff
MNR-04943,2017,1,8,11,22,2017,1,8,11,25,2017,1,8,15,50,2017,1,8,11,35,2017,1,8,11,45,STN-00195,_____,STN-00236,____K_______,P-COM,___0_421,421,0:09:34,152.326, , ,,Stuff
MNR-04942,2017,1,8,11,16,2017,1,8,11,20,2017,1,8,15,45,2017,1,8,11,20,2017,1,8,11,24,STN-00223,________,STN-00224,_______,P-COM,___0_412,412,0:03:12,43.4344, , ,,Stuff
MNR-04941,2017,1,8,10,53,2017,1,8,11,0,2017,1,8,15,25,2017,1,8,11,11,2017,1,8,11,15,STN-00237,_______________,STN-00244,________,P-COM,___0_425,425,0:04:31,99.1082, , ,,Stuff
MNR-04940,2017,1,8,10,33,2017,1,8,10,40,2017,1,8,15,5,2017,1,8,10,52,2017,1,8,11,4,STN-00247,_____,STN-00250,______,P-COM,___0_405,405,0:11:41,238.8618, , ,,Stuff
MNR-04939,2017,1,8,9,58,2017,1,8,10,0,2017,1,8,14,25,2017,1,8,10,31,2017,1,8,10,41,STN-00247,_____,STN-00256,______,P-COM,___0_420,420_1,0:10:15,202.7835, , ,,Stuff
MNR-04938,2017,1,7,16,51,2017,1,7,17,0,2017,1,7,21,25,2017,1,7,16,59,2017,1,7,17,7,STN-00238,____K_____,STN-00242,______,P-COM,___0_416,416_1,0:08:44,175.3471, , ,,Stuff
MNR-04937,2017,1,7,16,30,2017,1,7,16,35,2017,1,7,21,0,2017,1,7,16,39,2017,1,7,16,45,STN-00195,_____,STN-00204,___________,P-COM,___0_426,426,0:05:24,213.4513, , ,,Stuff
MNR-04936,2017,1,7,16,8,2017,1,7,16,10,2017,1,7,20,35,2017,1,7,16,19,2017,1,7,16,27,STN-00247,_____,STN-00237,_______________,P-COM,___0_425,425,0:08:49,182.5294, , ,,Stuff
MNR-04935,2017,1,7,15,9,2017,1,7,15,15,2017,1,7,19,40,2017,1,7,15,17,2017,1,7,16,1,STN-00204,___________,STN-00236,____K_______,P-COM,___0_429,429,0:44:15,233.5809, , ,,Stuff
MNR-04934,2017,1,7,14,41,2017,1,7,14,45,2017,1,7,19,10,2017,1,7,14,46,2017,1,7,15,13,STN-00259,__________,STN-00204,___________,P-COM,___0_413,413,0:27:00,425.2375, , ,,Stuff
MNR-04933,2017,1,7,14,16,2017,1,7,14,20,2017,1,7,18,45,2017,1,7,14,41,2017,1,7,14,45,STN-00248,_______,STN-00259,__________,P-COM,___0_423,423,0:04:23,58.1771, , ,,Stuff
